R1-PINH1,89.75,42.22,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,7.37,88.16,91.10,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,125.47,37.28,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,159.72,-4.77,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,120.01,28.06,270.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,68.74,-1.14,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,161.12,-4.76,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,85.21,28.72,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,156.18,34.36,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.12,33.18,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,121.28,37.68,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,70.98,-3.34,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.10,4.66,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.15,34.91,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,49.23,22.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,47.81,22.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,43.95,22.73,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,70.43,15.13,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.02,97.85,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.55,97.09,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,84.15,43.80,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.15,97.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.00,15.22,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.85,96.30,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.83,0.19,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.13,-3.71,0.00,,SJ
TP1,14.35,59.53,0.00,TPTP20R,TP20R
TP10,74.45,-5.41,0.00,TPTP20R,TP20R
TP11,17.50,8.53,0.00,TPTP20R,TP20R
TP12,37.20,19.69,0.00,TPTP20R,TP20R
TP13,48.75,32.09,0.00,TPTP20R,TP20R
TP14,112.05,33.71,0.00,TPTP20R,TP20R
TP15,103.60,41.31,0.00,TPTP20R,TP20R
TP16,68.55,23.11,0.00,TPTP20R,TP20R
TP17,96.45,14.23,0.00,TPTP20R,TP20R
TP2,19.45,58.05,0.00,TPTP20R,TP20R
TP3,141.03,29.45,0.00,TPTP20R,TP20R
TP4,35.91,23.05,0.00,TPTP20R,TP20R
TP5,35.99,26.85,0.00,TPTP20R,TP20R
TP6,41.15,9.87,0.00,TPTP20R,TP20R
TP7,40.93,13.47,0.00,TPTP20R,TP20R
TP8,41.01,16.97,0.00,TPTP20R,TP20R
TP9,12.69,5.27,0.00,TPTP20R,TP20R
U1,36.96,41.91,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,42.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.03,36.73,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,139.82,39.56,0.00,MAX17048G+T10,SON50P200X200X80-9N
